	Job_title	Company	Location	Raw JobID	Date Posted	JobID	Link	Job Description
0	            Associate, Energy & Climate Practice	        3Degrees	San Francisco, CA	jl_7ec62b1fa6e18577	2 hours ago	7ec62b1fa6e18577	https://www.indeed.com/viewjob?jk=7ec62b1fa6e18577	"ABOUT YOUYou are someone who loves to analyze, research, and offer creative solutions. You ask lots of questions, take a proactive approach to support the team, and you have a knack for clearly presenting information. You are curious and look at all sides of a problem/challenge and make informed recommendations. You pride yourself in your attention to detail. Your organizational skills help you create and execute work plans that are efficient while delivering a high level of support to serve our clients.This is a full-time, non-exempt role reporting to the Senior Director within the 3Degrees Energy & Climate Practice division. This position is located in either our Portland, OR or San Francisco, CA office.ABOUT THE ROLEThe Associate is a vital contributor to our Energy & Climate Practice team, the consulting team at 3Degrees. The position conducts research and analyses to support the delivery of client work under the direction of senior-level team members.3Degrees’ consulting projects focus on envisioning and implementing renewable energy and climate solutions for large organizations. Our work focuses on reducing emissions of energy supplies - both electricity and thermal - and enabling growing organizations to adopt these solutions within robust sustainability programs. Our Associates bring experience within this arena, and perform the following work:WHAT YOU’LL DOSupport the delivery of client work including presentations, financial modeling, writing and preparing memos, presentations and additional client requests.Conduct research with direction from senior-level team members. This may include company sustainability benchmarking, country-level energy market research, delving into standards documents to find specific references or proof points, as well as complex topics such as regulatory proceedings.Conduct analyses using existing templates and prescribed inputs. Examples include Scope 2 greenhouse gas footprints, energy load analysis by location or load type; simple project proformas.Translate results of research and analyses into clear visual representations.Support project leads in the creation or editing of spreadsheets so as to be ""client-ready”.Implement error-checking processes and serve as QA on others' analyses.Track actual performance of own work performed against the established plan, with active communication with the Project and/or Engagement Manager.Capture project learnings and repeatable deliverables and work samples for future use according to knowledge management processes.WHAT WE SEEK FROM YOUFamiliarity with renewable energy/sustainability regulations, standards and processes (ex. able to assess barriers presented by regulatory rulings and suggest strategies to address or work within them).Prior experience working on consulting projects, ideally addressing sustainability/renewable energy/climate change issues. Professional or graduate-level educational experience will be considered.Strategic, conceptual, analytical thinking and decision making skills. Highly organized, reliable and well-structured in your research and analyses.Advanced Microsoft Excel (i.e. advanced functions such as formulas, pivot tables, conditional formatting, and advanced filtering/sorting) and prior background with managing extremely large datasets.Exceptional written and verbal communication skills, including experience making/delivering presentations to external clients and internal stakeholders.Versatility and ability to be agile in an environment with many types of tasks.Bachelors in Science, Engineering, Economics or equivalent combination of professional experience and education.Prior experience working on consulting projects is a plus but not required.ABOUT US3Degrees exists for one simple reason – to make it possible for businesses and their customers to take urgent action on climate change. As a certified B Corporation, we provide renewable energy and emission reduction solutions to global Fortune 500 companies, utilities and other organizations around the globe that want to join the fight against climate change, and we can’t do it without you, Join Us! Headquartered in San Francisco, 3Degrees serves clients around the world like Netflix, Cisco, Unilever, Lyft, Ahold Delhaize, Mastercard, Swiss RE and Etsy.WHAT WE OFFERWhen you work for us, there's plenty in it for you:Company medical, dental, and vision benefits, flexPTO, 401(k) with company matching program, health & wellness reimbursement program, cell phone reimbursement, and mass transit expense reimbursement program.A mission-driven B Corp that is committed to a triple bottom line ethic and fostering work-life balance and professional development for its staff.OUR COMMITMENT TO DIVERSITY, INCLUSION AND EQUITY3Degrees is an equal opportunity employer. We are committed to creating an inclusive environment where different perspectives contribute to better solutions. 3Degrees welcomes people regardless of race, color, religion, national origin, gender, gender identity or gender expression, age, sex, pregnancy, marital status, ancestry, physical or mental disability, military or veteran status, sexual orientation, genetic information, or any other category protected by law."
3	            Recent Graduate: Clean Energy Analyst	        Southern California Edison	Rosemead, CA 91771	jl_857108d858e6339d	26 days ago	857108d858e6339d	https://www.indeed.com/viewjob?jk=857108d858e6339d	Job DescriptionENERGY FOR WHAT’S AHEADAre you looking to make a difference in your career? We’re working on smarter grids, cleaner energy and tools to help people manage energy more efficiently.About Strategy, Planning & Operational Performance (SPOP) organization:We perform the foundational analysis and planning that inform SCE’s views and actions; we provide the strategic leadership that aligns resources, and we coordinate the transformational initiatives that redefine and advance SCE. Check out our Clean Power and Electrification vision at http://www.scecleanenergy.com/.Position Overview:We are looking for an Associate Analyst or Analyst as part of SCE’s University and Campus Relations Recent Graduate program. These positions will be in the Analytics and Modeling departments within Southern California Edison’s (SCE) Strategy, Planning & Operational Performance organization.This position will provide analytical support for projects and initiatives that will help shape the corporate and resource planning strategy of SCE with a focus on grid decarbonization, renewable integration and clean electrification. This support will include performing quantitative analyses of energy markets and policies, evaluating the cost-effectiveness and viability of new energy resources (i.e. renewables, energy storage, distributed energy resource, electric vehicles etc.), and running grid simulation models to forecast system operations and economics in various future system scenarios. This support will influence corporate strategic planning, resource procurement, policy decisions, regulatory and legal proceedings, and future investment strategies.Typical Responsibilities Include:Utilizing and developing analytical models and grid planning simulation tools to develop resource portfolios under various future scenarios, and forecast the impacts of those portfolios on system pricing, GHG emissions, and other system and market dimensions.Provides analytical support for SCE’s strategic planning process and projects including performing economic analyses and analyzing market sizes and opportunities for new energy resources.Evaluating the cost-effectiveness of proposed generation resources, including renewables and distributed energy resources, and transmission and distribution projects.Conducting research and building analytical models for evaluating energy policies, regulations, and new business models.Presenting to department and division management, section supervision, colleagues and other interested partiesQualificationsMinimum Qualifications:Must have graduated in the past 24 months or will graduate by June 2019 with an undergraduate or graduate degree in Economics, Environmental Science, Finance, Engineering, Mathematics, Statistics, Business, or other quantitative related fields.Experience in conducting quantitative analysis:Associate Analyst – typically possesses zero to three years of experienceAnalyst – typically possesses at least three years of experience or combination of relevant advance degree and experienceMust be proficient in MS office applications, including Excel, Word, and PowerPointDemonstrated strong problem solving and analytical skillsDemonstrated written, verbal, and presentation communications skillsDemonstrated ability to work within a highly collaborative environmentDesired Qualifications:Experience with advanced Excel functionsExperience with statistical modeling tools such as SAS or RExperience with electric system analysisExperience in energy or electric system analysis or in other applicable fields of analysisDemonstrated knowledge of the basic structure and products of power markets, GHG policies and markets, and related regulatory requirements that govern SCE’s participation in themStrong interpersonal, influence, and result-oriented skillsDemonstrated ability to follow Edison safety protocols and safe work practicesComments:The primary work location for this position is Rosemead, CA; however, the successful candidate may also be asked to travel for presenting at Industry Conferences as required.Relocation is available for this positionCandidates for this position must be legally authorized to work directly as employees for any employer in the United States without visa sponsorship.Additional testing may be required as part of the selection process for this position.Southern California Edison, an Edison International (NYSE:EIX) company, serves a population of nearly 15 million via 5 million customer accounts in a 50,000-square-mile service area within Central, Coastal and Southern California. Join the utility leader that is safely delivering reliable, affordable electricity to our customers for over 125 years.SCE is a proud Equal Opportunity Employer and will not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected status.If you require special assistance or accommodation while seeking employment with Southern California Edison, please call Human Resources at (800) 500-4723, and choose option 3 for the Employee Information Center. Representatives are available Monday through Friday, 8 a.m. to 4 p.m., Pacific time, except Wednesdays when the center closes at 2:30 p.m., and holidays, or (800) 352-8580 (Telecommunications device for the hearing impaired - TTY).
6	Energy Modeling Engineer	        US-EcoLogic	Irving, TX	jl_b61acdd3af88f3f9	3 days ago	b61acdd3af88f3f9	https://www.indeed.com/viewjob?jk=b61acdd3af88f3f9	Worksite Address: 911 Maryland Drive, Irving, TX 75061Job Duties– Perform energy models in accordance with LEED mid-rise, high-rise, NGBS and Energy Star standards– Perform code compliant energy performance models that meet state or city local codes– Calculate energy savings for buildings– Identify and prioritize energy savings measures for clients– Prepare reports containing energy modeling results and recommendations for energy cost savings– Perform energy models in proportion to utility companies rebate and incentive program standards– Recommend potential energy savings measures to project managers and clients– Review and implement environmental codes, guidelines, policies that meet all appropriate requirements– Provide advice on code and energy program standards and regulations– Perform Manual J8 load calculations for new and existing single family homesJob Requirements– Bachelor’s degree in Environmental Science or related field and two years of post-baccalaureate experience in utilizing methods involved with the construction of houses, buildings, and other structures, developing energy models in energy modeling simulation engines, ensuring compliance of energy models with current residential and commercial energy codes, and analyzing energy performance of new construction and existing facilities to determine cost-effective energy measures. Will accept a Master’s degree in Environmental Science or related field in lieu of 2 years of experience.2 positions available. Interested candidates should send their resume to resumes@texenergy.org.
12	            Valuation & Modeling Consultant,	        Deloitte	San Francisco, CA	jl_afcd7eefa31c59f7	25 days ago	afcd7eefa31c59f7	https://www.indeed.com/viewjob?jk=afcd7eefa31c59f7	Valuation & Modeling – Financial Modeling ConsultantAre you interested in working with clients on their most important decisions? If so, this is your opportunity to join Deloitte’s Modeling Advisory Practice (“MAP”), Deloitte’s dedicated team of financial modelers. We focus on market-leading decision support services in the context of transactions and business planning. You will have an opportunity to work with some of the largest clients and gain exposure to a range of industries and business situations.When our clients are making critical decisions about the future of their business, such as pursuing transactions, evaluating strategic alternatives, or quantifying the impact of business restructurings or transformations, they are faced with the challenge of distilling these complex decisions into simple but comprehensive financial models. The need for expert modeling is often heightened when financial implications are significant, the situation is complex, and/or when multiple stakeholders are involved.Work you’ll doAs a Consultant in MAP you will:Take a role in supporting clients throughout decision making processesProvide advice and support through advanced financial modeling and rigorous analytics on a broad range of engagements using outstanding technical and commercial skillsDevelop financial models and analysis to support transactions and business planningAssist in driving business development activities for the Modeling Advisory PracticeCollaborate with other service lines within DeloitteParticipate in the delivery of training programsThe teamMAP is Deloitte’s team of dedicated financial modeling professionals, and we provide market-leading decision support services in the context of transactions, business planning, and restructurings or transformations across a range of industries from consumer products, to life sciences, to renewable energy, real estate and beyond.Learn more about Deloitte Risk and Financial Advisory Valuation practiceQualificationsRequired:1+ years of financial modeling and related experienceStrong Microsoft Excel skills (VBA skill is a plus) and proficiency with Word, and PowerPointDemonstrated experience in business and strategic planning and managing client relationshipsA strong accounting/finance/valuation backgroundAbility to create and deliver client service work that exceeds client expectationsExperience in building, maintaining and effectively managing client relationshipsAbility to explain complex technical issues in clear, simple, and concise mannerProfessional demeanor and strong communication skills, both written and oralMust be flexible with expected travel requirements of client service engagementsEnthusiastic approach to solving complex problems and attention to detailBachelor’s degreePreferred:CPA, CFA, or other equivalent designationHow you’ll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.Deloitte’s cultureOur positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.Corporate citizenshipDeloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.Recruiter tipsWe want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.“Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.”
15	Energy Auditor	        Lime Energy	Newark, NJ 07102 (Central Business District area)	jl_325e571e6bd83a42	30+ days ago	325e571e6bd83a42	https://www.indeed.com/viewjob?jk=325e571e6bd83a42	Energy AuditorJob Summary:To support the rapid growth of Lime Energy’s utility sponsored Small Business Direct Install Energy Efficiency programs, we are seeking Auditors to perform energy audits. Job responsibilities include field visits to conduct site assessments and creating formal customer proposals which are provided to the sales team.Job Duties & Responsibilities:Conducting on-site small business energy auditsDetermine qualifying measures/techniques and evaluate successful measure implementationComplete detailed and accurate data collection/field notes and enter the data into the utility computer programPreparing proposals that recommend energy conservation measuresMaintaining strong ongoing communications with customers to assure customer satisfactionPreparing daily status reports to accurately describe activities in the fieldProvide information to customers on available incentives and additional resourcesUse your own vehicle to travel (company will reimburse for tolls and mileage)Have a valid driver’s license with a clean driving recordBe able to climb laddersPass our background check and drug screeningQualifications:Microsoft Office (specifically Excel and Outlook)Energy modeling softwareHigh sense of urgency and a pro-active approach to problem solvingTeam playerMinimum of 2 years’ experience with energy auditsEducation, Training & Certifications:BPI certified a plus, but not required.Disclaimer: Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time. Accommodations will be made to enable individuals with disabilities to perform the essential functions.Lime Energy is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
21	            Fundamental Modeling Consultant - Energy & Utilities	        PA Consulting Group	Denver, CO	jl_6286fb0d05676210	30+ days ago	6286fb0d05676210	https://www.indeed.com/viewjob?jk=6286fb0d05676210	PA Consulting Group is a leading management and technology consulting firm. We operate globally in more than 30 countries and transform the performance of major organizations in both the private and public sectors. From initial idea generation and strategy development through to detailed implementation, our team of 2,600 consultants, technologists and innovators deliver significant and tangible results to our clients through leveraging outside the box thinking and in-depth sector expertise.PA’s Global Energy and Utilities group brings together teams with the global insight, local expertise and deep sector acumen to help meet clients’ growing expectations, seize the opportunities created by digital channels, capitalize on technology and innovation, make informed investment/divestment decisions through detailed economic analysis, and retain and develop talent. We are differentiated by deep industry knowledge and the practical experience to challenge conventional thinking.We delivered exceptional results for utilities, policy-makers, regulators, oil and gas companies, power producers, and private equity and infrastructure investors across North America, Europe, Asia-Pacific and the Gulf.PA seeks an experienced power market modeling professional. Qualified hires for our Denver, CO office will conduct analysis on power market fundamentals to support the delivery of energy economic and finance advisory services to private equity firms, investment banks, competitive generation owners, electric utilities and lawyers.Job RequirementsBachelor of Science in engineering economics, policy, mathematics, business or equivalent plus 2-7 years’ experience in 1) the energy industry, 2) finance or economics or 3) related careers. Masters or Ph.D. is desired and may be substituted for some of the work experience requirement.An ideal candidate has:At least 1 year of experience using the AuroraXMP and/or Plexos models;Strong excel and VBA skills as well as previous experience working with large amounts of data using Access;Strong time management and organizational skills;the desire to contribute to a positive team environment and exceed client expectations;Nodal modeling experience is a plus.Location: Denver, COAbout PA Consulting GroupBringing Ingenuity to Life: We’re an innovation and transformation consultancy that believes in the power of ingenuity to build a positive-human future in a technology-driven world. Our diverse teams of experts combine innovative thinking with breakthrough-technologies to progress further, faster.With a global network of FTSE 100 and Fortune 500 clients, we’ll offer you unrivalled opportunities for growth and the freedom to excel. Combining strategies, technologies and innovation, we turn complexity to opportunity and deliver enduring results, enabling you to build a lasting career.Isn’t it time you joined us?We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. VEVRAA Federal Contractor
24	            Scientist III- Biomass Conversion Modeling	        National Renewable Energy Laboratory	Golden, CO 80401	jl_65e8dd56a1a0ca28	24 days ago	65e8dd56a1a0ca28	https://www.indeed.com/viewjob?jk=65e8dd56a1a0ca28	Posting TitleScientist III- Biomass Conversion Modeling.LocationCO - Golden.Position TypeRegular.Hours Per Week40.Job DescriptionA full-time position for a Scientist III- Biomass Conversion Modeling in NREL’s Biosciences Center to explore critical material attributes of feedstocks in biomass pyrolysis and downstream processing. The candidate will support a larger group applying multiscale modeling to a variety of conversion technologies. The candidate will apply state-of-the-art computational modeling tools in support of several multi-investigator, interdisciplinary projects focused on the development of biomass pyrolysis and heterogeneous catalysts to produce chemicals and fuels from biomass and waste resources via thermochemical and catalytic pathways.Key knowledge skillsets includes: Techniques and methodologies of multiscale computational modeling approaches. Expertise in biomass pyrolysis reaction schemes and parameterization for simultaneous reaction-diffusion in porous biomass particles. Understanding of interfacing multiple modeling scales with experiments..Basic QualificationsRelevant PhD . Or, relevant Master's Degree and 3 or more years of experience . Or, relevant Bachelor's Degree and 5 or more years of experience..Additional QualificationsDemonstrates complete understanding and wide application of scientific technical procedures, principles, theories and concepts in the field. General knowledge of other related disciplines. Demonstrates leadership in one or more areas of team, task or project lead responsibilities. Demonstrated experience in management of projects. Very good technical writing, interpersonal and communication skills.Preferred Qualifications.Submission GuidelinesPlease note that in order to be considered an applicant for any position at NREL you must submit an application form for each position for which you believe you are qualified. Applications are not kept on file for future positions. Please include a cover letter and resume with each position application..EEO PolicyNREL is dedicated to the principles of equal employment opportunity. NREL promotes a work environment that does not discriminate against workers or job applicants and prohibits unlawful discrimination on the basis of race, color, religion, sex, national origin, disability, age, marital status, ancestry, actual or perceived sexual orientation, gender identity, or veteran status, including special disabled veterans.NREL validates right to work using E-Verify. NREL will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization.
27	            Advanced Energy Storage System Modeling Engineer	        Maxwell Technologies Inc	San Diego, CA	jl_6636dc439251753e	30+ days ago	6636dc439251753e	https://www.indeed.com/viewjob?jk=6636dc439251753e	Position: Advanced Energy Storage System Modeling EngineerOverview of Position Description:This full time position is for an engineer to perform modeling and simulation of energy storage power systems with an emphasis on the distribution grid. This position entails hands-on modeling and simulation of the impact of new, innovative, dynamic, distributed power electronics technologies on the electric grid using commercially available simulation tools. Modeling and simulation challenges when dealing with mid-to-large scale energy storage systems requires a knowledge of utility GTD (Generation. Transmission and Distribution) systems, interaction of large scale solar and wind on the utility system and, energy storage systems such as lithium-ion batteries and/or other advanced energy storage technologies.This position entails planning, design, modeling, data collection and analysis of integrated power and energy storage systems and requires highly detailed and intensive system analysisResponsibilities of this position include developing accurate models to assess, design and confirm the addition of energy storage for renewables integration in grid projects; analyzing hosting capacities in utility distribution grids and microgrids; evaluation of performance and interaction of energy storage in the form of batteries, supercapacitors and traditional thermal based generators in these circuits, and design and analyze power systems to incorporate and reasonably integrate advanced energy storage on existing and new grids and microgrids.The primary duties will include sizing and simulation of various advanced battery chemistries, advanced energy storage technologies and supercapacitors and inverters in large systems in an environment of large solar and wind generation.Direct Areas of expertise Required to Support Grid Projects:Knowledge of different energy storage technologies used in the Grid i.e. batteries, supercapacitorsPerform modeling and simulation of complex distribution systems with different types of assets such as line voltage regulators, load-tap changers, capacitor banks, cables, etc.Model dynamic sources of real and reactive power such as inverters, grid edge devices and integrated energy storage solutions. Provide support for the marketing and sales team (pre- and post-) to develop and simulate various use cases in response to customer site specific requirementsIntegration and impact analysis of distributed generation on distribution systems, power system modelling, analysis and simulation of transmission and distribution systemsRenewable energy grid integration, to include: wind and solar plant studiesDistributed generation interconnection analysisAssist in creating design solutions and preparing presentations for interfacing with customersRenewable energy (specifically wind and solar projects from 1MW to over 200MW-ac) and distributed generation and integration. Impact analysis on distribution and transmission systemsDirect experience with enhanced voltage and frequency regulation, reactive power capability and control functions to utilize this capabilityPerform analysis and modeling of distributed energy resource issues and remediation strategies as related to battery energy storage for reverse power and fault current flows; voltage fluctuation; distribution feeder section loading; power losses as related to PV loading; unintentional islanding; ground fault overvoltage; harmonics; effects of fast transients caused by cloud shading and dynamic wind conditions; unwanted control interaction between battery energy storage systems and large scale inverters already installed in the distribution circuits; feeder imbalance.Experience with power system design, modeling and analysis (distribution system analysis)Some communication and control knowledge of DNP-3 and IEC 61850 control and communication systems is a plus)Strong fundamentals of electric power systems and electric circuit theory with ability to perform Power quality analysis, power system transient and harmonic analysisAbility to structure and perform project level modeling, analysis and case studies. Modeling and model verification testing with appropriate modeling toolsSkills in steady state, quasi steady-state, dynamic and transient analysis in utility circuitsCandidate must be skilled in the use of state of the art simulation tools such asPSCAD; MATLAB Simulink; RSCAD, Aspen; Design Base; Gridiant; PSLF, PSS/E; Open DSS; GridLAB-D; CymeDIST; DigSilent; PSS/Sincal; Nexant Grid360.Professional Credentials and ExperienceRequired: MS or PhD in electrical engineering from an accredited university7+ years of commercial system modeling experience including grid integration of renewable energy storage projects in the 1MW to 100MW+ sizeAdvanced working knowledge of battery energy storage and storage technologiesExperienced distribution grid and microgrid design, modeling, analysis and report generationExcellent communication and presentation skills with ability to present data analysis and simulation results internally and to customerAbility to collaborate and interact with clients and other project team members
30	            Mini-Grid Engineer for USAID Projects in Sub-Saharan Africa	        ECODIT	United States	jl_7e3626983c109299	30+ days ago	7e3626983c109299	https://www.indeed.com/viewjob?jk=7e3626983c109299	Position Type:ConsultantMini-Grid Engineer for USAID Projects in Sub-Saharan AfricaLocation: Consultant Home Office, Niger, Sub-Saharan AfricaECODIT is seeking a Mini-Grid Engineer to provide technical assistance for USAID projects in Sub-Saharan Africa. ECODIT is currently implementing contracts for engineer projects in USAID Niger and the Democratic Republic of Congo, and requires an engineer to provide technical services in support of Mini-Grid development utilizing solar PV and other generation assets.The Mini-Grid Engineer will assist the USAID project(s) by providing technical advisory services to power sector activities. The engineer will support technical feasibility studies that enable projects to achieve financial closure utilizing private financing and/or donor backed funds. This position may involve trips to the project sites in Sub-Saharan Africa to meet with stakeholders, conduct technical due diligence activities, and participate in workshops. Specifically, the Mini-Grid Engineer will:Responsibilities:Review the development of preliminary power system designs and distribution grid designs for sites;Work with partners and subcontractors to develop and apply multiple approaches to assess and forecast demand, including proprietary machine learning models and industry standard energy modeling software, while mitigating for risks;Oversee the development of technical designs for energy and distribution systems for Mini-Grids that utilize solar PV and/or batteries and/or diesel backup systemsDevelop design standards for mini-grid development that are appropriate for local contexts and follow international best practices;Review/develop technical assessments of mini-grid system components, including, but not limited to: metering and billing mechanisms; remote shut-down and potential use of mobile phone platforms and/or GIS management systems to facilitate an efficient and smooth operation;When needed, develop or review shop drawings and engineering plans for mini-grids (site surveys; site plan, layout, and identification rings; electrical single line diagrams; Instrumentation and control systems; major equipment list with sizing; major equipment specifications and operating models; energy production estimation; and, recommended optimum mini-grid system capacity and configurations);Liaise with the USAID Power Africa staff, host country government personnel, and others as appropriate; andContribute targeted written inputs to other USAID deliverables as needed.Qualifications:Bachelor’s degree in international development, engineering, energy, environment, or a related field;A minimum of 10 years of experience in energy project development, especially, solar PV mini-grids;Technical knowledge and experience in issues related to solar mini-grids, demand assessments, energy system design, and distribution grid design;An aptitude for producing clear, concise, and engaging written content that responds to the client’s parameters under tight deadlines and page limits;Prior experience in Africa is a plus;Fluency in French is a plus.Interested candidates should submit a cover letter and CV immediately. ECODIT is an Equal Opportunity Employer. Only selected candidates will be contacted; no phone calls or emails please.#LI-EX1
36	            Renewable Energy Researcher	        Clean Power Research	Napa, CA 94558	jl_cc1ec88e71cbc416	30+ days ago	cc1ec88e71cbc416	https://www.indeed.com/viewjob?jk=cc1ec88e71cbc416	WHO ARE WE?Looking for a job that makes a real difference in our world today and one that you’ll be proud of when you look back in 20, 30 or 40 years? This is it. Clean Power Research® is advancing the energy transformation through cloud software that informs, streamlines and values energy-related decisions and processes for utilities, energy professionals and consumers.We’re a growing company and award-winning innovator that counts seven of the top 10 utilities in the U.S. and many of the largest solar companies as our customers. We’re focused on expanding our market reach and impact with new software technologies that help solve the energy industry’s hardest problems.At Clean Power Research, every employee has a seat at the table and an important role.WHY WORK HERE?Go from building solutions to being part of the solutionJoin a growing team of software and energy veterans from companies like Microsoft, Amazon, Oracle, NextEra and Pacific Gas & ElectricBring your passion and ideas to the tableUse your creativity to solve hard problems and make tough decisionsWork in a start-up like environment coupled with the stability and customer base of an established, profitable companyRealize work-life balance; we like to see our families, friends and pets at night!Join a growing company that expects you to grow with us and invests in your growthClean Power Research offers competitive compensation and benefits to full-time employees including medical/dental/vision, paid vacation, paid holidays, a bonus plan and 401(k) plan with matching.WHAT YOU’LL BE DOING AS A RENEWABLE ENERGY RESEARCHERClean Power Research seeks an innovative, experienced researcher with applied technical experience in the renewable energy space. You’ll conduct a wide range of studies related to renewable energy modeling and economics, and help with novel technical modeling efforts.In this role, you’ll also prepare reports and presentations to support existing R&D contracts concerning high-penetration renewables integration, solar irradiance forecasting and solar PV rooftop potential with both private and public entities. In so doing, you’ll help advance the state of the art and publish high-impact research in each of these areas. Furthermore, you’ll help secure additional funding by identifying and securing opportunities (e.g., grants) to further R&D efforts within the topic areas listed below.DUTIES AND RESPONSIBILITIESDuties include:Determining strategies for high-penetration grid-integration of renewablesAssessing PV potential from remote sensing dataModeling PV, wind and storage resourcesQuantifying effective capacity of non-dispatchable resources on the gridCalculating power variability from PV systems in an ISO territoryComparing the accuracy of satellite-based solar irradiance against ground measurementsCalculating the value of PV by estimating utility savings in fuel, capital, and O&MEvaluating energy storage resources or grid-connected EVsYou’ll interact with team members and clients on projects, produce and deliver meaningful results, write winning proposals to energy agencies and utilities, and develop new concepts for future analytical software tools. Responsibilities include:Producing results that address clients’ questionsLearning, mastering and advancing company software tools, methodologies and dataDocumenting results in technical conference presentations, reports and peer-reviewed papersIdeating and pursuing advanced concepts for possible new software implementationCollaborating with company software development and marketing teamsWHO YOU AREMinimum of MS degree in engineering or applied science, PhD preferred1-2 years industry experience in relevant applied technical or engineering discipline or equivalent academic training (e.g., integrated resource planning, utility engineering and economic analysis, renewable system modeling, technical and pertinent postdoc)Familiarity with clean energy technologies, power systems, energy markets and engineering economicsAdvanced scripting skills in language relevant to big data analytics: e.g., R (preferred), Python, Matlab, etc.Demonstrated research publication record: 1-2 journal papers and/or 3-4 major industry conference papers.Demonstrated relevant grantwork/fellowship experience (e.g. DOE, EPA, NREL, Marie Curie, CEC, NYSERDA, etc.)Familiarity with GiS concepts, data structures and analyticsExcellent skills in communication, collaboration, consultation and organizationTechnical drive, objectivity, creativity and a pioneering spiritHOW TO APPLYClick on the link below to submit a cover letter detailing your interest in the renewable energy space along with your resume. Due to the large number of applicants for our positions, we regret that we can only respond to candidates who meet our requirements. Clean Power Research’s Research and Consulting Group is located in Napa, California, right near the heart of downtown Napa. Local, full-time, in-office candidates only, please.Clean Power Research is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. The company’s employment decisions are based on merit, competence, performance and business needs.
